WCR Number,ScreenTopDepth_ft,ScreenBottomDepth_ft,WeatheredBedrockDepth_ft,BedrockDepth_ft,BedrockType_WellScreen,PLSS MTRS,WCR Links
WCR2009-001936,15,30,9999,9999,Did not reach bedrock,M15N12W20,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F15N12W%2F&files=15N12W20_E0092806.pdf
WCR2009-007067,16,21,9999,9999,Did not reach bedrock,M15N12W20,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F15N12W%2F&files=15N12W20_E0105670.pdf
WCR2014-005411,15,30,9999,9999,Did not reach bedrock,M15N12W20,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F15N12W%2F&files=15N12W20_E0215843.pdf
WCR0153564,26,43,9999,9999,Did not reach bedrock,M15N12W21,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F15N12W%2F&files=15N12W21_56884.pdf
WCR2003-003644,160,260,2,45,Sandstone/serpentine and shale,M15N13W35,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F15N13W%2F&files=15N13W35_790315.pdf
WCR2010-001805,60,200,2,40,Sandstone with shale,M15N14W32,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F15N14W%2F&files=15N14W32_E0115211.pdf
WCR1994-003270,100,200,25,42,Sandstone/shale,M15N15W20,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F15N15W%2F&files=15N15W20_496008.pdf
WCR2005-001924,100,220,2,35,Sandstone/sandstone w shale and clay,M15N15W21,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F15N15W%2F&files=15N15W21_0918904.pdf
WCR1999-005567,80,160,45,80,Sandstone w shale,M15N15W21,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F15N15W%2F&files=15N15W21_821977.pdf
WCR2008-005601,40,195,25,25,Sandstone w shale/sandstone/shale (soft),M15N15W21,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F15N15W%2F&files=15N15W21_E077000.pdf
WCR0110889,240,340,10,60,Sandstone/shale,M15N15W23,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F15N15W%2F&files=15N15W23_228011.pdf
WCR2005-004239,20,260,2,30,Sandstone/shale w clay,M15N15W25,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F15N15W%2F&files=15N15W25_1079395.pdf
WCR1995-005588,30,110,2,30,fractured sandstone,M15N15W27,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F15N15W%2F&files=15N15W27_556924.pdf
WCR0127248,40,120,17,17,shale/soft sandstone/hard sandstone,M15N15W29,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F15N15W%2F&files=15N15W29_234009.pdf
WCR2003-004735,120,220,2,22,sandstone w clay/sandstone/shale w clay,M15N15W34,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F15N15W%2F&files=15N15W34_797157.pdf
WCR0098740,110,180,18,18,shale/hard fractured sandstone,M15N16W01,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F15N16W%2F&files=15N16W01_181688.pdf
WCR1994-003212,80,160,24,40,sandstone/shale,M15N16W01,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F15N16W%2F&files=15N16W01_496042.pdf
WCR1988-005078,40,80,10,40,sandstone,M15N16W06,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F15N16W%2F&files=15N16W06_277915.pdf
WCR1981-002255,80,200,20,60,hard sandstone,M15N16W12,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F15N16W%2F&files=15N16W12_228078.pdf
WCR2011-004024,238,298,23,23,sandstone,M15N16W29,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F15N16W%2F&files=15N16W29_E0136117.pdf
WCR0281260,29,48.5,18,18,brown shale clay/blue clay/blue shale,M15N17W02,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F15N17W%2F&files=15N17W02_156162.pdf
WCR1989-004988,30,100,44,44,gray rock/shale/gray sandstone,M15N17W14,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F15N17W%2F&files=15N17W14_285140.pdf
WCR1998-003563,25,190,2,2,yellow sandstone fractured/gray rock fractured,M16N13W35,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F16N13W%2F&files=16N13W35_557690.pdf
WCR2011-002923,116,176,26,26,blue sandstone,M16N14W19,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F16N14W%2F&files=16N14W19_E0135021.pdf
WCR0137465,16,36,26,26,graywacke,M16N15W07,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F16N15W%2F&files=16N15W07_141399.pdf
WCR1987-003698,80,160,0,0,blue sandstone,M16N15W07,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F16N15W%2F&files=16N15W07_200283.pdf
WCR1994-000972,65,145,28,28,brown clay and brown sandstone/blue clay and fractured BTSS,M16N15W22,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F16N15W%2F&files=16N15W22_421443.pdf
WCR2010-002788,80,380,18,45,greenstone/greenstone with shale,M16N15W22,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F16N15W%2F&files=16N15W22_E0111181.pdf
WCR2014-005387,100,180,18,18,hard sandstone/sandstone w shale,M16N16W03,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F16N16W%2F&files=16N16W03_E0199843.pdf
WCR1986-004062,40,200,17,40,sandstone/shale,M16N16W12,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F16N16W%2F&files=16N16W12_195075.pdf
WCR1988-005516,100,160,0,0,sandstone,M16N16W12,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F16N16W%2F&files=16N16W12_271771.pdf
WCR1995-002019,40,240,2,2,brown clay/fractured sandstone/hard sandstone,M16N16W12,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F16N16W%2F&files=16N16W12_476207.pdf
WCR0110882,25,65,42,42,hardpan- sandy clay/blue serpentine clay,M16N16W31,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F16N16W%2F&files=16N16W31_118774.pdf
WCR0126720,20,60,52,52,volcanic ash and rock,M16N17W03,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F16N17W%2F&files=16N17W03_74841.pdf
WCR0246965,59,78,39,39,hard sandy gray rock,M16N17W05,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F16N17W%2F&files=16N17W05_066971.pdf
WCR1987-007578,25,60,16,16,brown clay and brown sandstone/grey sandstone,M16N17W06,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F16N17W%2F&files=16N17W06_299537.pdf
WCR0210373,155,175,30,30,hard gray rock,M16N17W08,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F16N17W%2F&files=16N17W08_229165.pdf
WCR1989-003226,40,140,0,0,blue sandstone/shale,M16N17W08,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F16N17W%2F&files=16N17W08_271787.pdf
WCR1993-001389,20,103,15,15,brown sandstone/gray sandstone,M16N17W08,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F16N17W%2F&files=16N17W08_407161.pdf
WCR1993-005985,20,84,11,11,brown sandstone/clay/gray sandstone,M16N17W11,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F16N17W%2F&files=16N17W11_493605.pdf
WCR0065305,36,96,27,27,clay/shale/fractured sandstone/graywacke,M16N17W12,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F16N17W%2F&files=16N17W12_110274.pdf
WCR2013-006283,38,178,22,22,sandstone and shale,M16N17W12,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F16N17W%2F&files=16N17W12_E0172094.pdf
WCR0266524,40,120,52,52,brown broken rock/blue clay/blue rock,M16N17W16,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F16N17W%2F&files=16N17W16_135963.pdf
WCR1990-006225,25,100,22,48,fractured blue sandstone and weathered sandstone/hard sandstone,M16N17W16,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F16N17W%2F&files=16N17W16_341814.pdf
WCR1990-005935,48,108,35,70,weather sandstone and blue sandstone,M16N17W16,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F16N17W%2F&files=16N17W16_341843.pdf
WCR0210139,40,220,31,31,blue clay rock/blue rock,M16N17W17,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F16N17W%2F&files=16N17W17_140918.pdf
WCR1993-005987,50,150,19,19,gray sandstone,M16N17W17,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F16N17W%2F&files=16N17W17_493607.pdf
WCR1987-007470,20,30,9999,9999,Did not reach bedrock,M16N17W20,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F16N17W%2F&files=16N17W20_299503.pdf
WCR1993-002463,20,114,36,36,brown standstone/gray sandstone,M16N17W21,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F16N17W%2F&files=16N17W21_419874.pdf
WCR0040165,50,70,8,8,fractured gray sandstone/hard consolidated gray sandstone,M16N17W21,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F16N17W%2F&files=16N17W21_68666.pdf
WCR1992-008118,35,155,40,40,sandstone,M16N17W28,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F16N17W%2F&files=16N17W28_433438.pdf
WCR1990-007369,10,85,28,28,sandstone,M16N17W29,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F16N17W%2F&files=16N17W29_333605.pdf
