"SegNum","WellNum","time_days","pump_factor","Qs","frac_depletion","depletion_m3d"
64,9,258,0.5,0,0.247,0
64,9,3543,0.5,0.059312,0.182,0.0107948
64,9,18143,0.5,0.2196978,0.128,0.0281213
64,9,258,1,0,0.247,0
64,9,3543,1,0.1186241,0.182,0.0215896
64,9,18143,1,0.4393956,0.128,0.0562426
64,9,258,1.5,0,0.247,0
64,9,3543,1.5,0.1779361,0.182,0.0323844
64,9,18143,1.5,0.6590935,0.128,0.084364
214,9,258,0.5,0,0.247,0
214,9,3543,0.5,0.0553265,0.182,0.0100694
214,9,18143,0.5,0.2153605,0.128,0.0275661
214,9,258,1,0,0.247,0
214,9,3543,1,0.1106531,0.182,0.0201389
214,9,18143,1,0.4307209,0.128,0.0551323
214,9,258,1.5,0,0.247,0
214,9,3543,1.5,0.1659796,0.182,0.0302083
214,9,18143,1.5,0.6460814,0.128,0.0826984
65,9,3543,0.5,0.0301221,0.045,0.0013555
65,9,18143,0.5,0.181777,0.032,0.0058169
65,9,3543,1,0.0602441,0.045,0.002711
65,9,18143,1,0.3635539,0.032,0.0116337
65,9,3543,1.5,0.0903662,0.045,0.0040665
65,9,18143,1.5,0.5453309,0.032,0.0174506
66,9,3543,0.5,0.0321955,0.074,0.0023825
66,9,18143,0.5,0.1851143,0.052,0.0096259
66,9,3543,1,0.064391,0.074,0.0047649
66,9,18143,1,0.3702286,0.052,0.0192519
66,9,3543,1.5,0.0965866,0.074,0.0071474
66,9,18143,1.5,0.5553429,0.052,0.0288778
67,9,3543,0.5,0.0108534,0.048,0.000521
67,9,18143,0.5,0.1387313,0.049,0.0067978
67,9,3543,1,0.0217069,0.048,0.0010419
67,9,18143,1,0.2774625,0.049,0.0135957
67,9,3543,1.5,0.0325603,0.048,0.0015629
67,9,18143,1.5,0.4161938,0.049,0.0203935
298,9,3543,0.5,0,0.025,0
298,9,18143,0.5,0.0038994,0.018,7.02e-05
298,9,3543,1,0,0.025,0
298,9,18143,1,0.0077989,0.018,0.0001404
