stream_BC,pump,analytical,apportionment,method,Time,MSE.sum,KGE.sum
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2230.3,0.0160255729483664,0.0895712820887274
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2239.7,0.0158207012966665,0.0885150525262364
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2249,0.0159987760149782,0.0832158043480555
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2259.3,0.0158240103680964,0.0788926053892437
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2269.7,0.0156229544644491,0.0851565890905841
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2280,0.0154723954062333,0.0871057706354341
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2290,0.0157173829111564,0.078926774779297
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2300,0.0154476593453714,0.0823626531861655
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2310,0.0154698630902942,0.0761341632275674
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2320.3,0.0148451168138698,0.0802119320047814
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2330.7,0.0147844038756404,0.0773756365664092
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2341,0.0147343269817065,0.0754924131576893
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2351,0.0183892002637437,-0.133999357857162
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2361,0.0197318294770094,-0.26626110244056
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2371,0.0208057284824252,-0.280487767310404
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2381.3,0.021494071053017,-0.248492998631823
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2391.7,0.0221032105628374,-0.205087621020684
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2402,0.0225799761460592,-0.167202732120046
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2412.3,0.0231355130073077,-0.131249456220951
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2422.7,0.023784453100373,-0.0994166048316238
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2433,0.0243145910630676,-0.0733121733167617
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2443,0.0247287876903559,-0.0514200290844598
