stream_BC,pump,analytical,apportionment,method,Time,MSE.overall,KGE.overall
SFR,Intermittent,hunt,Dynamic,Qf.Web,2920,0.00149945987990567,0.0301222772016461
SFR,Intermittent,hunt,Dynamic,Qf.Web,2930.3,0.00145791663263874,0.0290497715393196
SFR,Intermittent,hunt,Dynamic,Qf.Web,2940.7,0.00132266631215565,0.0349548894289409
SFR,Intermittent,hunt,Dynamic,Qf.Web,2951,0.00129499275702947,0.0211554646471398
SFR,Intermittent,hunt,Dynamic,Qf.Web,2960.3,0.00122210659081924,0.0285356631641388
SFR,Intermittent,hunt,Dynamic,Qf.Web,2969.7,0.00112512771012163,0.0309515189856656
SFR,Intermittent,hunt,Dynamic,Qf.Web,2979,0.0010695816971878,0.0297150159415625
SFR,Intermittent,hunt,Dynamic,Qf.Web,2989.3,0.00109303384028987,0.0308367561606709
SFR,Intermittent,hunt,Dynamic,Qf.Web,2999.7,0.000985974415472032,0.028130962654207
SFR,Intermittent,hunt,Dynamic,Qf.Web,3010,0.000951504603876201,0.00289709077277578
SFR,Intermittent,hunt,Dynamic,Qf.Web,3020,0.000912148947531368,0.0357583778651169
SFR,Intermittent,hunt,Dynamic,Qf.Web,3030,0.000886715098183678,0.0286857436153432
SFR,Intermittent,hunt,Dynamic,Qf.Web,3040,0.000889321040828151,0.0224904352600868
SFR,Intermittent,hunt,Dynamic,Qf.Web,3050.3,0.000812440697981086,0.02612064622626
SFR,Intermittent,hunt,Dynamic,Qf.Web,3060.7,0.000818527085555484,0.0273847754088649
SFR,Intermittent,hunt,Dynamic,Qf.Web,3071,0.000763508767357564,0.0217433310736073
SFR,Intermittent,hunt,Dynamic,Qf.Web,3081,0.000821234739354584,0.0278404223469573
SFR,Intermittent,hunt,Dynamic,Qf.Web,3091,0.00104778201430925,0.0318025074211192
SFR,Intermittent,hunt,Dynamic,Qf.Web,3101,0.00117633251714275,0.0254052061288744
SFR,Intermittent,hunt,Dynamic,Qf.Web,3111.3,0.00126954140524845,0.033096565677766
SFR,Intermittent,hunt,Dynamic,Qf.Web,3121.7,0.00142406338137591,0.0239777712032717
SFR,Intermittent,hunt,Dynamic,Qf.Web,3132,0.00150919083105371,0.0331669764811626
