"row" "col" "lay" "lon" "lat" "WellNum" "ztop_m"
32 100 0 455634.12422272 4342604.71038478 165 222.209884643555
36 100 0 455634.12422272 4341604.71038478 166 251.938858032227
40 100 0 455634.12422272 4340604.71038478 167 324.939239501953
48 100 0 455634.12422272 4338604.71038478 168 295.985748291016
52 100 0 455634.12422272 4337604.71038478 169 143.168899536133
56 100 0 455634.12422272 4336604.71038478 170 328.091583251953
60 100 0 455634.12422272 4335604.71038478 171 240.609222412109
64 100 0 455634.12422272 4334604.71038478 172 268.031829833984
68 100 0 455634.12422272 4333604.71038478 173 391.380249023438
72 100 0 455634.12422272 4332604.71038478 174 253.14729309082
76 100 0 455634.12422272 4331604.71038478 175 95.0732879638672
80 100 0 455634.12422272 4330604.71038478 176 100.936370849609
84 100 0 455634.12422272 4329604.71038478 177 77.736442565918
88 100 0 455634.12422272 4328604.71038478 178 111.038635253906
92 100 0 455634.12422272 4327604.71038478 179 65.1928024291992
96 100 0 455634.12422272 4326604.71038478 180 160.017242431641
100 100 0 455634.12422272 4325604.71038478 181 327.774169921875
104 100 0 455634.12422272 4324604.71038478 182 355.247314453125
108 100 0 455634.12422272 4323604.71038478 183 335.895904541016
112 100 0 455634.12422272 4322604.71038478 184 394.620208740234
116 100 0 455634.12422272 4321604.71038478 185 381.692749023438
120 100 0 455634.12422272 4320604.71038478 186 367.697052001953
124 100 0 455634.12422272 4319604.71038478 187 589.79248046875
128 100 0 455634.12422272 4318604.71038478 188 645.986877441406
36 104 0 456634.12422272 4341604.71038478 189 409.890716552734
40 104 0 456634.12422272 4340604.71038478 190 287.042022705078
48 104 0 456634.12422272 4338604.71038478 191 368.384613037109
52 104 0 456634.12422272 4337604.71038478 192 173.415405273438
56 104 0 456634.12422272 4336604.71038478 193 243.45768737793
60 104 0 456634.12422272 4335604.71038478 194 242.153564453125
64 104 0 456634.12422272 4334604.71038478 195 242.060455322266
68 104 0 456634.12422272 4333604.71038478 196 343.921508789062
72 104 0 456634.12422272 4332604.71038478 197 283.151611328125
76 104 0 456634.12422272 4331604.71038478 198 180.564956665039
80 104 0 456634.12422272 4330604.71038478 199 172.958435058594
84 104 0 456634.12422272 4329604.71038478 200 126.046745300293
88 104 0 456634.12422272 4328604.71038478 201 85.6642150878906
92 104 0 456634.12422272 4327604.71038478 202 70.9766082763672
96 104 0 456634.12422272 4326604.71038478 203 133.425598144531
100 104 0 456634.12422272 4325604.71038478 204 266.716827392578
104 104 0 456634.12422272 4324604.71038478 205 200.942245483398
108 104 0 456634.12422272 4323604.71038478 206 298.470916748047
112 104 0 456634.12422272 4322604.71038478 207 227.890365600586
116 104 0 456634.12422272 4321604.71038478 208 405.815765380859
120 104 0 456634.12422272 4320604.71038478 209 352.987243652344
124 104 0 456634.12422272 4319604.71038478 210 513.230224609375
128 104 0 456634.12422272 4318604.71038478 211 339.976104736328
132 104 0 456634.12422272 4317604.71038478 212 436.287231445312
32 108 0 457634.12422272 4342604.71038478 213 278.393188476562
36 108 0 457634.12422272 4341604.71038478 214 291.549346923828
40 108 0 457634.12422272 4340604.71038478 215 233.677658081055
44 108 0 457634.12422272 4339604.71038478 216 231.346206665039
48 108 0 457634.12422272 4338604.71038478 217 250.357238769531
52 108 0 457634.12422272 4337604.71038478 218 266.803771972656
56 108 0 457634.12422272 4336604.71038478 219 296.266479492188
60 108 0 457634.12422272 4335604.71038478 220 180.491744995117
64 108 0 457634.12422272 4334604.71038478 221 208.26530456543
68 108 0 457634.12422272 4333604.71038478 222 265.660705566406
72 108 0 457634.12422272 4332604.71038478 223 178.449691772461
